50.760000,-1.516000
48.540000,2.251000
46.270000,-1.501000
44.130000,2.228000
42.000000,-1.467000
40.000000,2.204000
38.000000,-1.432000
36.000000,2.188000
34.000000,-1.400000
32.000000,2.170000
30.000000,-1.401000
28.000000,2.135000
26.000000,-1.421000
24.000000,2.133000
22.000000,-1.390000
20.000000,2.122000
18.000000,-1.365000
16.000000,2.160000
14.000000,-1.378000
12.000000,2.174000
10.000000,-1.358000
8.000000,2.194000
6.000000,-1.368000
4.000000,2.212000
2.000000,-1.367000
0.000000,2.261000
-2.000000,-1.363000
-4.000000,2.293000
-6.130000,-1.387000
-8.270000,2.313000
-10.540000,-1.414000
-12.760000,2.367000
